City,Region,Category,Sub_Category,Product_Name,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Date,On_Hand,On_Order,Lead_Time_Days,Reorder_Level,Stockout_Flag
New York City,East,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,,,,,2017-03-17,54,66,8,52,0
New York City,East,Office Supplies,Storage,"Neat Ideas Personal Hanging Folder Files, Black",,,,,2017-03-17,24,47,8,39,1
New York City,East,Office Supplies,Labels,Avery 486,,,,,2017-03-17,160,1,7,63,0
New York City,East,Office Supplies,Art,Lumber Crayons,,,,,2017-03-17,152,15,12,60,0
New York City,East,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",,,,,2017-03-17,130,72,12,22,0
Plainfield,East,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",,,,,2017-08-15,77,18,6,39,0
Seattle,West,Office Supplies,Paper,Xerox 1896,,,,,2015-07-11,150,82,10,21,0
Seattle,West,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",,,,,2015-07-11,197,7,5,96,0
New York City,East,Office Supplies,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,,,,,2017-12-03,141,87,14,68,0
New York City,East,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,,,,,2017-12-03,180,79,5,86,0
New York City,East,Technology,Phones,AT&T 1080 Corded phone,,,,,2017-12-03,160,85,5,34,0
New York City,East,Office Supplies,Labels,Avery 520,,,,,2017-12-03,148,36,2,56,0
Newport News,South,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",,,,,2017-05-04,151,93,5,78,0
Newport News,South,Office Supplies,Storage,Letter Size Cart,,,,,2017-05-04,0,34,5,49,1
Newport News,South,Office Supplies,Paper,Xerox 23,,,,,2017-05-04,173,67,13,36,0
Newport News,South,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",,,,,2017-05-04,49,22,13,36,0
Fayetteville,South,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,,,,,2016-01-22,100,73,7,28,0
Fayetteville,South,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",,,,,2016-01-22,184,84,11,65,0
Fayetteville,South,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,,,,,2016-01-22,152,88,5,26,0
Los Angeles,West,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,,,,,2016-11-03,138,67,3,64,0
Los Angeles,West,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,,,,,2016-11-03,159,48,4,79,0
Los Angeles,West,Office Supplies,Labels,Avery 50,,,,,2016-11-03,103,32,3,74,0
Los Angeles,West,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,,,,,2016-11-03,41,24,2,56,1
Los Angeles,West,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,,,,,2017-09-04,90,32,2,87,0
New York City,East,Office Supplies,Art,Newell 322,,,,,2014-09-13,149,52,8,59,0
Dallas,Central,Office Supplies,Supplies,Fiskars Spring-Action Scissors,,,,,2017-06-19,143,17,9,76,0
Dallas,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,,,,,2017-06-19,129,59,4,29,0
Seattle,West,Office Supplies,Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,,,,,2017-12-24,130,10,6,81,0
Seattle,West,Technology,Phones,Anker 24W Portable Micro USB Car Charger,,,,,2017-08-28,97,89,6,39,0
Seattle,West,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",,,,,2017-08-28,162,86,4,78,0
Seattle,West,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,,,,,2017-08-28,192,73,13,99,0
Seattle,West,Office Supplies,Art,Newell 344,,,,,2017-08-28,162,40,10,61,0
Newark,East,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",,,,,2015-01-02,27,13,12,58,1
Newark,East,Office Supplies,Art,Newell 313,,,,,2015-01-02,76,2,4,90,1
Newark,East,Office Supplies,Paper,Xerox 1959,,,,,2015-01-02,70,40,10,75,1
New York City,East,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,,,,,2015-10-09,138,86,9,93,0
New York City,East,Office Supplies,Paper,Xerox 1895,,,,,2015-10-09,20,36,13,28,1
Los Angeles,West,Office Supplies,Paper,White GlueTop Scratch Pads,,,,,2014-12-13,134,83,11,93,0
Jamestown,East,Technology,Phones,Apple iPhone 5,,,,,2014-11-19,155,2,12,45,0
Houston,Central,Furniture,Tables,KI Adjustable-Height Table,,,,,2016-09-10,28,21,9,64,1
Houston,Central,Technology,Phones,Polycom VVX 310 VoIP phone,,,,,2016-09-10,179,12,8,55,0
Mishawaka,Central,Furniture,Chairs,"Global Geo Office Task Chair, Gray",,,,,2014-06-16,20,28,7,75,1
San Diego,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",,,,,2015-09-26,31,55,3,46,1
San Diego,West,Office Supplies,Envelopes,Cameo Buff Policy Envelopes,,,,,2015-09-26,130,0,4,84,0
San Francisco,West,Office Supplies,Binders,GBC Personal VeloBind Strips,,,,,2016-05-19,13,46,13,55,1
Miami,South,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",,,,,2017-06-22,171,36,8,93,0
Skokie,Central,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",,,,,2017-06-17,189,45,8,24,0
Skokie,Central,Office Supplies,Binders,Avery Durable Binders,,,,,2017-06-17,192,75,10,56,0
Skokie,Central,Office Supplies,Binders,Fellowes Binding Cases,,,,,2017-06-17,111,78,13,80,0
San Francisco,West,Office Supplies,Labels,Avery 52,,,,,2016-11-14,18,90,10,90,1
San Francisco,West,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",,,,,2014-07-25,5,46,5,50,1
San Francisco,West,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,,,,,2014-07-25,78,59,5,67,0
San Francisco,West,Furniture,Furnishings,Staple-based wall hangings,,,,,2014-07-25,191,77,7,45,0
Houston,Central,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,,,,,2015-07-02,127,13,6,42,0
Los Angeles,West,Technology,Phones,Panasonic KX TS3282B Corded phone,,,,,2017-03-02,116,2,11,98,0
Los Angeles,West,Technology,Accessories,Logitech G13 Programmable Gameboard with LCD Display,,,,,2017-03-02,166,66,6,96,0
Oklahoma City,Central,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",,,,,2016-11-18,36,75,11,56,1
Monroe,South,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,,,,,2015-04-18,80,45,6,44,0
Tampa,South,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",,,,,2017-12-02,140,98,3,36,0
Chicago,Central,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,,,,,2016-11-11,40,48,7,84,1
Chicago,Central,Furniture,Chairs,Global Chrome Stack Chair,,,,,2016-11-11,189,41,4,39,0
Bowling Green,East,Office Supplies,Storage,Economy Rollaway Files,,,,,2014-09-05,138,33,12,59,0
Houston,Central,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,,,,,2014-11-15,112,75,2,40,0
Westfield,East,Furniture,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,,,,,2017-05-02,35,87,2,80,1
Oklahoma City,Central,Office Supplies,Labels,Avery 49,,,,,2016-10-15,83,95,3,98,1
Oklahoma City,Central,Office Supplies,Labels,Avery 508,,,,,2016-10-15,19,61,3,86,1
Oklahoma City,Central,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,,,,,2016-10-15,14,78,14,54,1
Oklahoma City,Central,Office Supplies,Paper,Xerox 1999,,,,,2016-10-15,95,40,3,97,1
Oklahoma City,Central,Technology,Phones,Samsung Replacement EH64AVFWE Premium Headset,,,,,2016-10-15,191,10,2,69,0
Oklahoma City,Central,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,,,,,2016-10-15,73,99,5,20,0
Houston,Central,Office Supplies,Art,Newell 312,,,,,2015-04-06,174,38,3,58,0
Houston,Central,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,,,,,2015-04-06,140,45,9,50,0
Houston,Central,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,,,,,2015-04-06,86,13,7,21,0
Houston,Central,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",,,,,2015-04-06,44,22,14,95,1
Houston,Central,Office Supplies,Paper,Xerox 1949,,,,,2015-04-06,148,51,7,76,0
Fort Lauderdale,South,Office Supplies,Paper,Xerox 210,,,,,2014-10-24,141,64,7,62,0
Little Rock,South,Office Supplies,Paper,Xerox 1929,,,,,2014-08-17,45,83,3,89,1
Little Rock,South,Office Supplies,Binders,Avery Non-Stick Binders,,,,,2014-08-17,106,52,2,23,0
Little Rock,South,Office Supplies,Fasteners,Colored Push Pins,,,,,2014-08-17,171,53,12,35,0
Little Rock,South,Technology,Accessories,Logitech Gaming G510s - Keyboard,,,,,2014-08-17,135,60,11,95,0
Philadelphia,East,Office Supplies,Storage,Tennsco Single-Tier Lockers,,,,,2017-08-15,0,84,11,23,1
La Quinta,West,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,,,,,2015-09-06,13,11,9,40,1
Cleveland,East,Furniture,Chairs,High-Back Leather Manager's Chair,,,,,2015-01-27,173,62,7,29,0
Cleveland,East,Technology,Phones,Polycom VVX 310 VoIP phone,,,,,2015-01-27,158,23,14,51,0
Cleveland,East,Technology,Phones,Nortel Meridian M5316 Digital phone,,,,,2015-01-27,20,88,13,39,1
San Francisco,West,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,,,,,2015-07-16,115,86,14,51,0
San Francisco,West,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,,,,,2015-07-16,142,44,6,50,0
Scottsdale,West,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,,,,,2016-04-30,17,7,6,51,1
Philadelphia,East,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,,,,,2014-09-26,11,27,11,73,1
Malden,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",,,,,2016-09-08,1,78,14,84,1
Malden,East,Office Supplies,Labels,Avery 52,,,,,2016-09-08,28,59,10,34,1
San Jose,West,Office Supplies,Storage,"Belkin 19"" Vented Equipment Shelf, Black",,,,,2017-04-16,85,56,9,28,0
San Jose,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,,,,,2017-04-16,183,13,2,25,0
Phoenix,West,Office Supplies,Art,Newell 346,,,,,2015-08-16,183,3,3,71,0
Phoenix,West,Technology,Phones,Samsung Galaxy S4 Mini,,,,,2015-08-16,118,11,11,63,0
Phoenix,West,Office Supplies,Paper,Xerox 1891,,,,,2015-08-16,53,84,12,22,0
Phoenix,West,Office Supplies,Labels,Avery 488,,,,,2015-08-16,127,40,6,56,0
Henderson,South,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",,,,,2017-11-19,8,71,4,34,1
Henderson,South,Office Supplies,Binders,GBC Imprintable Covers,,,,,2017-11-19,161,15,10,82,0
Columbia,South,Office Supplies,Paper,Xerox 224,,,,,2016-09-14,148,7,12,45,0
Tallahassee,South,Technology,Phones,HTC One Mini,,,,,2016-08-15,111,67,10,77,0
New York City,East,Technology,Accessories,Dell Slim USB Multimedia Keyboard,,,,,2015-09-26,104,73,4,77,0
Houston,Central,Furniture,Furnishings,Contemporary Wood/Metal Frame,,,,,2016-10-08,182,96,3,32,0
Coral Springs,South,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",,,,,2015-03-24,169,41,9,36,0
Orem,West,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,,,,,2015-05-31,148,44,2,30,0
Orem,West,Office Supplies,Labels,Self-Adhesive Removable Labels,,,,,2015-05-31,157,36,6,41,0
Orem,West,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,,,,,2015-05-31,89,43,9,80,0
Nashville,South,Office Supplies,Labels,Avery 474,,,,,2015-12-25,49,61,2,47,0
Nashville,South,Office Supplies,Paper,Xerox 227,,,,,2015-12-25,121,33,8,36,0
New York City,East,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,,,,,2015-03-17,148,92,12,54,0
New York City,East,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",,,,,2015-03-17,189,92,13,55,0
Bowling Green,South,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,,,,,2017-12-21,171,66,12,95,0
Bellingham,West,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,,,,,2017-11-01,26,92,2,45,1
Bellingham,West,Furniture,Tables,Hon 94000 Series Round Tables,,,,,2017-11-01,108,56,14,22,0
New York City,East,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,,,,2017-09-07,126,65,7,77,0
Newark,East,Technology,Phones,AT&T 1080 Corded phone,,,,,2017-12-27,16,9,7,81,1
Newark,East,Office Supplies,Art,BIC Brite Liner Highlighters,,,,,2017-12-27,161,8,14,49,0
Woodstock,Central,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",,,,,2017-07-16,15,52,13,34,1
Carrollton,Central,Technology,Accessories,Logitech diNovo Edge Keyboard,,,,,2016-08-12,32,57,10,38,1
Lafayette,Central,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,,,,,2017-07-09,11,57,11,79,1
Columbus,South,Office Supplies,Envelopes,Fashion Color Clasp Envelopes,,,,,2014-11-22,38,6,9,79,1
Columbus,South,Office Supplies,Binders,GBC ProClick Punch Binding System,,,,,2014-11-22,126,77,7,35,0
Columbus,South,Office Supplies,Envelopes,Staple envelope,,,,,2014-11-22,94,40,8,92,0
Columbus,South,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,,,,,2014-11-22,116,44,11,24,0
Alexandria,South,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",,,,,2014-01-26,31,36,10,73,1
Alexandria,South,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",,,,,2014-01-26,4,12,13,71,1
Alexandria,South,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",,,,,2014-01-26,164,10,6,96,0
Alexandria,South,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",,,,,2014-01-26,152,16,11,66,0
Alexandria,South,Technology,Phones,Macally Suction Cup Mount,,,,,2014-01-26,26,36,5,88,1
Alexandria,South,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,,,,,2014-01-26,20,74,14,98,1
Alexandria,South,Technology,Phones,Jabra SPEAK 410,,,,,2014-01-26,118,19,10,76,0
Haltom City,Central,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",,,,,2015-11-03,153,50,12,95,0
New York City,East,Office Supplies,Storage,Steel Personal Filing/Posting Tote,,,,,2017-06-30,176,21,2,57,0
New York City,East,Furniture,Furnishings,"Executive Impressions 14""",,,,,2017-06-30,163,61,9,89,0
Los Angeles,West,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",,,,,2016-05-05,123,36,12,22,0
Los Angeles,West,Technology,Phones,Cisco Small Business SPA 502G VoIP phone,,,,,2016-05-05,61,58,6,76,1
Wheeling,Central,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",,,,,2016-09-08,55,81,11,20,0
Wheeling,Central,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,,,,,2016-09-08,194,33,13,94,0
Summerville,South,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,,,,,2017-11-24,25,10,9,77,1
Summerville,South,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",,,,,2017-11-24,75,70,9,94,1
Columbus,Central,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,,,,,2017-05-13,50,36,10,29,0
Columbus,Central,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,,,,,2017-05-13,78,95,5,54,0
Columbus,Central,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,,,,,2017-05-13,74,98,8,86,1
Columbus,Central,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,,,,,2017-05-13,161,53,6,91,0
Columbus,Central,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),,,,,2017-05-13,12,74,13,88,1
New York City,East,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,,,,,2017-04-23,15,93,10,83,1
New York City,East,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",,,,,2017-04-23,158,18,9,76,0
New York City,East,Office Supplies,Paper,Easy-staple paper,,,,,2016-06-04,62,2,7,61,0
New York City,East,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,,,,,2016-06-04,111,88,12,42,0
New York City,East,Furniture,Bookcases,Sauder Inglewood Library Bookcases,,,,,2016-06-04,144,13,4,50,0
New York City,East,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",,,,,2016-06-04,60,36,7,88,1
Jacksonville,South,Office Supplies,Binders,Avery Binder Labels,,,,,2014-12-16,76,11,5,78,1
San Diego,West,Office Supplies,Art,Berol Giant Pencil Sharpener,,,,,2016-03-04,92,57,8,51,0
Arlington,Central,Technology,Accessories,KeyTronic KT400U2 - Keyboard - Black,,,,,2014-11-25,122,11,8,89,0
Arlington,Central,Office Supplies,Labels,Avery 520,,,,,2014-11-25,23,20,12,26,1
Arlington,Central,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,,,2014-11-25,5,21,7,71,1
Arlington,Central,Office Supplies,Labels,Avery 52,,,,,2014-11-25,71,42,6,81,1
Arlington,Central,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,,,,,2014-11-25,17,7,14,53,1
Arlington,Central,Furniture,Furnishings,"Master Caster Door Stop, Brown",,,,,2014-11-25,13,30,8,59,1
Los Angeles,West,Furniture,Chairs,"Global Stack Chair without Arms, Black",,,,,2016-04-28,72,88,4,77,1
Los Angeles,West,Furniture,Chairs,Bevis Steel Folding Chairs,,,,,2014-04-26,155,58,12,77,0
Los Angeles,West,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,,,,2014-04-26,64,11,7,29,0
San Francisco,West,Office Supplies,Labels,Avery 498,,,,,2017-04-01,47,2,7,38,0
San Francisco,West,Office Supplies,Binders,Fellowes Binding Cases,,,,,2017-04-01,73,38,8,63,0
Carlsbad,West,Office Supplies,Art,Design Ebony Sketching Pencil,,,,,2017-12-22,60,79,7,23,0
Carlsbad,West,Technology,Phones,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",,,,,2017-12-22,154,11,2,88,0
Carlsbad,West,Office Supplies,Storage,Eldon Simplefile Box Office,,,,,2017-12-22,86,75,3,91,1
Carlsbad,West,Office Supplies,Labels,Avery 517,,,,,2017-12-22,13,95,5,78,1
Saint Louis,Central,Office Supplies,Paper,Xerox 214,,,,,2014-12-03,40,96,14,72,1
New York City,East,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,,,,,2017-10-22,148,15,4,53,0
New York City,East,Technology,Phones,Polycom CX600 IP Phone VoIP phone,,,,,2017-10-22,152,43,12,76,0
New York City,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,,,,,2017-10-22,49,84,10,41,0
New York City,East,Technology,Phones,i.Sound Portable Power - 8000 mAh,,,,,2017-10-22,185,53,2,49,0
Springfield,East,Technology,Accessories,SanDisk Cruzer 32 GB USB Flash Drive,,,,,2017-11-13,40,97,12,23,0
Springfield,East,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,,,,,2017-11-13,138,52,3,87,0
Springfield,East,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,,,,,2017-11-13,75,2,10,78,1
Tulsa,Central,Office Supplies,Paper,Xerox 1952,,,,,2015-09-10,167,74,14,73,0
Seattle,West,Furniture,Furnishings,24-Hour Round Wall Clock,,,,,2017-05-15,9,16,8,45,1
Seattle,West,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,,,,,2017-05-15,166,85,7,99,0
Seattle,West,Furniture,Chairs,SAFCO Arco Folding Chair,,,,,2017-05-15,67,64,5,42,0
Fayetteville,South,Furniture,Furnishings,Stackable Trays,,,,,2015-07-05,184,88,14,84,0
Fayetteville,South,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,,,,,2015-07-05,81,97,2,72,0
Los Angeles,West,Office Supplies,Storage,Fellowes Super Stor/Drawer Files,,,,,2015-08-15,29,23,12,83,1
New York City,East,Office Supplies,Paper,"TOPS Voice Message Log Book, Flash Format",,,,,2017-06-12,74,51,7,93,1
New York City,East,Office Supplies,Binders,Angle-D Ring Binders,,,,,2017-06-12,103,67,6,71,0
New York City,East,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener,,,,,2017-06-12,36,26,4,54,1
New York City,East,Furniture,Chairs,Safco Contoured Stacking Chairs,,,,,2017-06-12,173,38,7,77,0
Hot Springs,South,Technology,Accessories,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,,,,,2015-02-20,11,21,9,98,1
Aurora,Central,Office Supplies,Paper,White Computer Printout Paper by Universal,,,,,2016-12-29,11,14,12,31,1
Raleigh,South,Technology,Phones,Motorola L804,,,,,2016-04-17,190,48,5,95,0
Raleigh,South,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",,,,,2016-04-17,89,33,8,41,0
Tulsa,Central,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock",,,,,2014-09-07,130,70,2,24,0
Tulsa,Central,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",,,,,2014-09-07,170,43,10,41,0
Tulsa,Central,Office Supplies,Paper,Xerox 2000,,,,,2014-09-07,176,25,8,34,0
Tulsa,Central,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",,,,,2014-09-07,31,39,12,47,1
Tulsa,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,,,,,2014-09-07,183,19,4,64,0
Hesperia,West,Furniture,Bookcases,Bestar Classic Bookcase,,,,,2016-09-26,185,91,7,82,0
Provo,West,Office Supplies,Binders,Avery Non-Stick Binders,,,,,2017-09-17,41,45,10,56,1
Provo,West,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",,,,,2017-09-17,187,86,9,58,0
Provo,West,Office Supplies,Paper,Green Bar Computer Printout Paper,,,,,2017-09-17,20,3,13,92,1
Provo,West,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",,,,,2017-09-17,86,0,4,62,0
Provo,West,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",,,,,2017-09-17,106,94,8,68,0
Provo,West,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",,,,,2017-09-17,112,39,3,92,0
Provo,West,Office Supplies,Labels,Avery 514,,,,,2017-09-17,164,52,6,39,0
San Francisco,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,,,,,2016-08-16,84,63,11,48,0
Gilbert,West,Furniture,Chairs,SAFCO Arco Folding Chair,,,,,2015-12-24,73,43,6,79,1
New York City,East,Technology,Phones,Google Nexus 5,,,,,2017-11-28,163,38,9,86,0
New York City,East,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",,,,,2017-11-28,100,6,8,73,0
Springfield,Central,Office Supplies,Binders,Acco 3-Hole Punch,,,,,2017-04-14,135,87,12,95,0
Memphis,South,Office Supplies,Labels,Avery 499,,,,,2016-05-01,198,86,3,79,0
Memphis,South,Furniture,Tables,Bevis 44 x 96 Conference Tables,,,,,2016-05-01,82,31,10,42,0
Memphis,South,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,,,,,2016-05-01,162,60,11,62,0
Amarillo,Central,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,,,,,2016-10-01,88,59,7,50,0
Amarillo,Central,Office Supplies,Paper,Easy-staple paper,,,,,2016-10-01,60,94,14,57,0
Los Angeles,West,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,,,,2015-08-25,179,75,13,35,0
Los Angeles,West,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,,,,,2015-08-25,23,40,5,38,1
Lowell,East,Office Supplies,Paper,Xerox 1913,,,,,2014-09-09,14,88,5,89,1
Lowell,East,Furniture,Chairs,Global Italian Leather Office Chair,,,,,2014-09-09,75,94,2,60,0
Lowell,East,Office Supplies,Paper,Advantus Motivational Note Cards,,,,,2014-09-09,143,95,12,22,0
Lowell,East,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,,,,,2014-09-09,52,75,4,36,0
San Diego,West,Office Supplies,Paper,Xerox 1888,,,,,2017-12-03,98,67,3,83,0
Asheville,South,Office Supplies,Art,Pencil and Crayon Sharpener,,,,,2017-11-27,145,31,8,25,0
Asheville,South,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,,,,,2017-11-27,158,66,12,56,0
Pueblo,West,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",,,,,2014-06-21,179,88,2,83,0
Pueblo,West,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders",,,,,2014-06-21,77,27,2,90,1
Jackson,Central,Office Supplies,Binders,Avery Durable Binders,,,,,2017-01-21,198,67,2,77,0
Jackson,Central,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,,,,,2017-01-21,28,98,11,70,1
Jackson,Central,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",,,,,2017-01-21,106,24,4,38,0
Jackson,Central,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,,,,,2017-01-21,22,51,13,57,1
Jackson,Central,Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",,,,,2017-01-21,95,52,3,28,0
Los Angeles,West,Office Supplies,Binders,Satellite Sectional Post Binders,,,,,2017-06-29,175,11,8,75,0
Thomasville,South,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",,,,,2016-09-06,123,61,11,90,0
Thomasville,South,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,,,,,2016-09-06,122,52,10,37,0
Peoria,Central,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,,,,,2016-08-04,112,27,11,54,0
Los Angeles,West,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",,,,,2015-11-12,6,45,12,26,1
